WAVE FLUX
900.0 2.7562542882309882e+38
900.44 2.7719128794691895e+38
900.88 2.7508054477065807e+38
901.32 2.9388688263122533e+38
901.77 3.08617490861631e+38
902.21 3.4082454408795885e+38
902.65 3.1476844519886376e+38
903.09 2.9175715491749363e+38
903.54 2.9896603322653052e+38
903.98 2.822226866417661e+38
904.42 2.6854780484146208e+38
904.87 3.027131479915719e+38
905.31 3.1262303092408954e+38
905.75 3.29306766220778e+38
906.2 3.289957834683403e+38
906.64 3.5815417392129776e+38
907.09 3.742824847033736e+38
907.53 2.9403490017601032e+38
907.98 2.917751124970225e+38
908.42 2.8937274422767893e+38
908.87 3.528880780603443e+38
909.31 3.288943130743033e+38
909.76 2.835996742704273e+38
910.21 2.809992623489503e+38
910.65 3.2503839290728552e+38
911.1 2.7997814543540964e+38
911.54 2.9283542597630457e+38
911.99 2.4163932231006917e+39
912.44 1.678339723009285e+39
912.89 2.339978901397908e+39
913.33 1.0428121851547312e+39
913.78 2.4493585784651864e+39
914.23 1.873780169543964e+39
914.68 2.370144940911306e+39
915.13 2.2178959567544798e+39
915.58 1.754152838862612e+39
916.02 1.8496282047573498e+39
916.47 1.805590921995635e+39
916.92 2.320822735262257e+39
917.37 2.137246319267897e+39
917.82 1.8551848337364796e+39
918.27 2.3748150502031905e+39
918.72 9.688630643535046e+38
919.17 9.699403058783918e+38
919.62 1.5294583546337395e+39
920.08 2.057596345662036e+39
920.53 2.047495076494057e+39
920.98 2.847053001505045e+38
921.43 1.2068915263562066e+39
921.88 8.108880940856753e+38
922.33 1.957688589842237e+39
922.78 1.9815572786803594e+39
923.24 1.2409081001929124e+39
923.69 1.2677766853613063e+39
924.14 2.1050668973230528e+39
924.6 2.737530021026092e+39
925.05 1.9008245458287708e+39
925.5 2.105887527095942e+39
925.96 2.304340164872341e+39
926.41 9.762658410211854e+38
926.87 2.3753051429289853e+39
927.32 2.0894448513884715e+39
927.78 2.182590335228866e+39
928.23 2.0509436643568822e+39
928.68 1.0441798524758771e+39
929.14 5.993040011196109e+38
929.6 1.0938783956159143e+39
930.05 5.815687865967084e+38
930.51 1.6667595683274433e+39
930.97 1.3059748824050563e+39
931.42 1.7534236836565712e+39
931.88 1.833238346111805e+39
932.34 1.9554709140670898e+39
932.79 2.1557279509799116e+39
933.25 2.2417458798716957e+39
933.71 2.7707593507079393e+39
934.16 2.7095763897764534e+39
934.62 2.2873036680452902e+39
935.08 2.3269126561323407e+39
935.54 2.3466563600049128e+39
936.0 2.339369978311274e+39
936.46 2.4048518524561963e+39
936.92 1.3499501847483879e+39
937.38 1.436273534020941e+39
937.84 3.1836592095731082e+38
938.3 2.329036993278633e+39
938.76 2.146724548182469e+39
939.22 2.1308665815990442e+39
939.68 2.057909131454917e+39
940.14 2.0398870931894236e+39
940.6 2.0224419546383304e+39
941.06 2.018580166463621e+39
941.52 1.9387234128435817e+39
941.98 1.9128710954488723e+39
942.45 1.2659179303876006e+39
942.91 1.696427878733678e+39
943.37 1.615084505383131e+39
943.83 1.9179403692807432e+39
944.29 2.2636249508962128e+39
944.76 2.0908896399165868e+39
945.22 2.4625656693964583e+39
945.68 2.079957832962922e+39
946.15 2.393267090610798e+39
946.61 1.6539328715892973e+39
947.08 2.42055255852614e+39
947.54 2.4585608760180797e+39
948.01 1.3166394854998437e+39
948.47 2.1643768060890352e+39
948.93 8.036350450644093e+38
949.4 1.2752777313492691e+39
949.87 4.728035024362028e+38
950.33 1.0451693874033553e+39
950.8 1.9649095636301243e+39
951.26 1.8960008252350792e+39
951.73 2.4033354342161204e+39
952.2 2.2953042308912213e+39
952.66 2.234890310815784e+39
953.13 2.2580943295116742e+39
953.6 2.1427324544724217e+39
954.07 1.7168966975096605e+39
954.53 2.1550163246549664e+39
955.0 9.383327731169712e+38
955.47 2.3401473599461946e+39
955.94 2.2754616828804136e+39
956.41 1.543355050294022e+39
956.88 1.797803278581542e+39
957.35 2.054323097148947e+39
957.82 2.1343976603655618e+39
958.28 1.9793016920026924e+39
958.76 8.672184530455418e+38
959.23 2.0646436150794108e+39
959.7 2.059641739976771e+39
960.17 2.1013011901784695e+39
960.64 2.2197552250444165e+39
961.11 2.2761027701900044e+39
961.58 2.090829638228863e+39
962.05 1.991982084332666e+39
962.52 2.2497911727359045e+39
962.99 2.152479325539905e+39
963.47 2.3629864287924163e+39
963.94 1.1927857406019164e+39
964.41 1.91921508959169e+39
964.89 2.2637324622457844e+39
965.36 2.3282859053730692e+39
965.83 2.1030883574595794e+39
966.31 2.1243641678039908e+39
966.78 1.6698030882861695e+39
967.25 1.1041860220879948e+39
967.73 2.0856432005216983e+39
968.2 2.2341739962204454e+39
968.68 2.1963662168059655e+39
969.15 2.1559651054111114e+39
969.63 1.6898940750754964e+39
970.1 2.1093599246427887e+39
970.58 1.645913327030862e+39
971.05 1.9177502739267815e+39
971.53 1.6602302022352943e+39
972.01 8.704915495298028e+38
972.48 3.4318605300862046e+38
972.96 1.4998777578079533e+39
973.44 1.1444532120381878e+39
973.91 1.3812400041256504e+39
974.39 1.4312678412286884e+39
974.87 1.4799351193654792e+39
975.35 1.547941119015592e+39
975.83 1.6562130226145486e+39
976.3 1.872427538575597e+39
976.78 1.9657426501380882e+39
977.26 2.5848675695889082e+39
977.74 1.9124933410896948e+39
978.22 2.1133019910516468e+39
978.7 2.2704042408414033e+39
979.18 2.141977048679573e+39
979.66 1.5202999588201317e+39
980.14 2.1528724343105012e+39
980.62 2.144703734941824e+39
981.1 9.168036147682318e+38
981.58 2.1314508553367405e+39
982.07 2.065825729982421e+39
982.55 2.029189864739073e+39
983.03 1.9716808910529553e+39
983.51 7.727943208904334e+38
983.99 1.6675590249658438e+39
984.47 1.934543533748964e+39
984.96 1.552263069175811e+39
985.44 1.622903193117145e+39
985.92 3.2103316709489e+38
986.41 1.4319017250001723e+39
986.89 1.362443798802875e+39
987.38 1.4963861360075184e+39
987.86 1.5354265963193264e+39
988.34 1.503745850267761e+39
988.83 7.489442996368133e+38
989.31 1.5300122267939443e+39
989.8 8.72312558216776e+38
990.28 8.103817176263074e+38
990.77 8.122259934335433e+38
991.26 9.322108060162251e+38
991.74 2.096146545277587e+39
992.23 2.3189366784513372e+39
992.72 2.2244215832019994e+39
993.2 2.2932908508616827e+39
993.69 2.2177419449076692e+39
994.18 1.7722822277619578e+39
994.66 9.306682971985951e+38
995.15 7.959151872191082e+38
995.64 2.205000352510059e+39
996.13 1.8258023856166956e+39
996.61 1.8517555344715767e+39
997.1 8.550539744118067e+38
997.59 7.576583408982443e+38
998.08 2.0421765610966872e+39
998.57 2.1728170773309802e+39
999.06 1.96500221665343e+39
999.55 2.1347790716838702e+39
1000.04 2.1259000262987498e+39
1000.53 1.848471411127792e+39
