### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+3.38000e+02  +1.88492e-02  +5.69429e-03  +3.70627e+00  +1.39845e+00
+3.48000e+02  +3.11350e-02  +9.94152e-03  +5.31668e+00  +2.05360e+00
+3.57000e+02  +2.17913e-02  +6.73024e-03  +3.29976e+00  +1.29876e+00
+3.66000e+02  +3.60839e-02  +9.99642e-03  +4.87401e+00  +1.79515e+00
+3.75000e+02  +1.32540e-02  +2.85458e-03  +1.60574e+00  +5.03033e-01
+3.85000e+02  +5.21499e-02  +1.53237e-02  +5.63221e+00  +2.09106e+00
+3.95000e+02  +3.94891e-02  +1.16822e-02  +3.82408e+00  +1.46292e+00
+4.05000e+02  +4.70821e-02  +1.23982e-02  +4.11025e+00  +1.47826e+00
+4.14000e+02  +6.17980e-02  +1.66392e-02  +4.93532e+00  +1.78366e+00
+4.22000e+02  +6.94624e-02  +1.97524e-02  +5.14161e+00  +1.90005e+00
+4.30000e+02  +7.16117e-02  +1.94809e-02  +4.92686e+00  +1.78317e+00
+4.41000e+02  +6.71175e-02  +1.76726e-02  +4.19400e+00  +1.48945e+00
+4.51000e+02  +9.41949e-02  +2.67629e-02  +5.41497e+00  +1.96121e+00
+4.60000e+02  +8.80139e-02  +2.38297e-02  +4.70831e+00  +1.68973e+00
+4.70000e+02  +1.11292e-01  +2.97998e-02  +5.51383e+00  +1.93161e+00
+4.80000e+02  +9.19769e-02  +2.36954e-02  +4.23381e+00  +1.47844e+00
+4.90000e+02  +1.08146e-01  +2.97791e-02  +4.63908e+00  +1.65181e+00
+5.00000e+02  +1.30657e-01  +3.41609e-02  +5.23776e+00  +1.80647e+00
+5.06000e+02  +1.36226e-01  +3.32643e-02  +5.25035e+00  +1.75521e+00
+5.12000e+02  +1.28151e-01  +2.67582e-02  +4.75296e+00  +1.43636e+00
+5.20000e+02  +1.59203e-01  +3.45582e-02  +5.61751e+00  +1.71948e+00
+5.30000e+02  +1.64755e-01  +3.76480e-02  +5.47381e+00  +1.71507e+00
+5.40000e+02  +1.51365e-01  +3.97893e-02  +4.74571e+00  +1.64561e+00
+5.50000e+02  +1.58148e-01  +3.68899e-02  +4.68902e+00  +1.52588e+00
+5.60000e+02  +1.86137e-01  +3.94415e-02  +5.22949e+00  +1.56936e+00
+5.70000e+02  +1.82817e-01  +3.68183e-02  +4.87610e+00  +1.42807e+00
+5.80000e+02  +1.94719e-01  +4.48201e-02  +4.93936e+00  +1.55271e+00
+5.90000e+02  +2.08300e-01  +4.27738e-02  +5.03383e+00  +1.47218e+00
+6.00000e+02  +1.91995e-01  +4.31286e-02  +4.42737e+00  +1.35966e+00
+6.10000e+02  +2.13265e-01  +3.99626e-02  +4.69993e+00  +1.25427e+00
+6.20000e+02  +2.25676e-01  +4.52724e-02  +4.75999e+00  +1.36623e+00
+6.30000e+02  +4.46928e-01  +1.20109e-01  +9.03470e+00  +3.08545e+00
+6.40000e+02  +2.28465e-01  +4.70335e-02  +4.43228e+00  +1.28978e+00
+6.50000e+02  +2.38188e-01  +4.91021e-02  +4.44026e+00  +1.28702e+00
+6.58000e+02  +2.41490e-01  +5.08454e-02  +4.36426e+00  +1.27533e+00
+6.65000e+02  +2.47681e-01  +5.17919e-02  +4.35892e+00  +1.26339e+00
+6.75000e+02  +2.54422e-01  +4.92803e-02  +4.31509e+00  +1.20040e+00
+6.85000e+02  +2.54644e-01  +5.18368e-02  +4.16666e+00  +1.18912e+00
+6.95000e+02  +2.57605e-01  +5.33702e-02  +4.07075e+00  +1.17157e+00
+7.05000e+02  +2.69785e-01  +4.97448e-02  +4.12129e+00  +1.10690e+00
+7.16000e+02  +2.74868e-01  +5.13086e-02  +4.04985e+00  +1.09205e+00
+7.26000e+02  +2.78868e-01  +5.17375e-02  +3.97973e+00  +1.06688e+00
+7.35000e+02  +2.81532e-01  +5.18630e-02  +3.90689e+00  +1.04280e+00
+7.45000e+02  +2.74521e-01  +4.89412e-02  +3.69591e+00  +9.69037e-01
+7.55000e+02  +1.74158e-01  +1.94007e-02  +2.27657e+00  +4.92597e-01
+7.65000e+02  +3.12567e-01  +5.53834e-02  +3.97015e+00  +1.01758e+00
+7.75000e+02  +2.70387e-01  +4.51521e-02  +3.33962e+00  +8.30372e-01
+7.85000e+02  +2.66889e-01  +6.47907e-02  +3.20774e+00  +9.95807e-01
+7.95000e+02  +3.04586e-01  +5.30267e-02  +3.56478e+00  +9.05910e-01
+8.05000e+02  +3.06574e-01  +5.34692e-02  +3.49623e+00  +8.91003e-01
+8.15000e+02  +3.09771e-01  +5.37110e-02  +3.44449e+00  +8.73014e-01
+8.25000e+02  +3.13269e-01  +5.37754e-02  +3.39849e+00  +8.54550e-01
+8.35000e+02  +2.97146e-01  +5.53670e-02  +3.14688e+00  +8.12254e-01
+8.45000e+02  +3.18398e-01  +5.37247e-02  +3.29359e+00  +8.17147e-01
+8.55000e+02  +3.16017e-01  +5.58536e-02  +3.19476e+00  +8.10709e-01
+8.65000e+02  +3.23807e-01  +5.41185e-02  +3.20089e+00  +7.88358e-01
+8.75000e+02  +3.22149e-01  +5.25722e-02  +3.11546e+00  +7.55211e-01
+8.85000e+02  +3.27842e-01  +5.33861e-02  +3.10332e+00  +7.48390e-01
+8.95000e+02  +3.30322e-01  +5.32120e-02  +3.06199e+00  +7.32470e-01
+9.05000e+02  +3.29091e-01  +5.25507e-02  +2.98873e+00  +7.10987e-01
+9.15000e+02  +5.91492e-01  +4.76252e-02  +5.26526e+00  +9.24428e-01
+9.25000e+02  +6.16395e-01  +3.34723e-02  +5.38043e+00  +7.43137e-01
+9.35000e+02  +8.06010e-01  +2.62535e-02  +6.90189e+00  +9.08095e-01
+9.45000e+02  +9.02896e-01  +1.54366e-02  +7.58772e+00  +9.18363e-01
+9.55000e+02  +9.61863e-01  +1.17551e-02  +7.93604e+00  +9.23081e-01
+9.65000e+02  +1.03102e+00  +1.07872e-02  +8.35490e+00  +9.32102e-01
+9.75000e+02  +7.65210e-01  +3.30506e-02  +6.09251e+00  +8.69799e-01
+9.85000e+02  +1.01248e+00  +1.01681e-02  +7.92320e+00  +8.87405e-01
+9.95000e+02  +9.87139e-01  +7.86924e-03  +7.59522e+00  +8.54109e-01
+1.00500e+03  +1.01319e+00  +1.22036e-02  +7.66743e+00  +8.37070e-01
+1.01500e+03  +1.01326e+00  +8.19786e-03  +7.54422e+00  +8.27589e-01
+1.02500e+03  +8.27863e-01  +1.79414e-02  +6.06635e+00  +7.46978e-01
+1.03500e+03  +9.77848e-01  +7.32731e-03  +7.05422e+00  +7.87343e-01
+1.04500e+03  +1.05089e+00  +1.25835e-02  +7.46575e+00  +7.81620e-01
+1.05500e+03  +1.04074e+00  +1.21209e-02  +7.28323e+00  +7.64434e-01
+1.06500e+03  +1.00206e+00  +9.27157e-03  +6.90973e+00  +7.39828e-01
+1.07500e+03  +9.84063e-01  +7.38837e-03  +6.68804e+00  +7.29211e-01
+1.08500e+03  +9.73418e-01  +8.73308e-03  +6.52227e+00  +7.00514e-01
+1.09500e+03  +1.01426e+00  +1.28865e-02  +6.70167e+00  +6.94968e-01
+1.10500e+03  +9.93740e-01  +1.18729e-02  +6.47669e+00  +6.76555e-01
+1.11500e+03  +9.85319e-01  +1.15224e-02  +6.33592e+00  +6.59875e-01
+1.12500e+03  +8.80838e-01  +1.80146e-02  +5.58965e+00  +6.52271e-01
+1.13500e+03  +9.78600e-01  +1.37535e-02  +6.12988e+00  +6.31791e-01
+1.14500e+03  +9.57784e-01  +1.29609e-02  +5.92339e+00  +6.14882e-01
+1.15500e+03  +9.21281e-01  +1.08088e-02  +5.62661e+00  +6.04257e-01
+1.16500e+03  +9.29022e-01  +1.25814e-02  +5.60437e+00  +5.89365e-01
+1.17500e+03  +8.31860e-01  +1.48648e-02  +4.95778e+00  +5.65733e-01
+1.18500e+03  +9.24651e-01  +1.47611e-02  +5.44553e+00  +5.59138e-01
+1.19500e+03  +8.93876e-01  +1.04740e-02  +5.20298e+00  +5.42020e-01
+1.20500e+03  +8.36976e-01  +1.33453e-02  +4.81598e+00  +5.30422e-01
+1.21500e+03  +7.09901e-01  +2.00002e-02  +4.03876e+00  +4.84026e-01
+1.22500e+03  +8.49751e-01  +1.14365e-02  +4.78081e+00  +5.03156e-01
+1.23500e+03  +8.47309e-01  +1.56217e-02  +4.71508e+00  +4.59789e-01
+1.24500e+03  +8.95252e-01  +2.12991e-02  +4.92842e+00  +5.13756e-01
+1.25500e+03  +8.73225e-01  +1.69675e-02  +4.75638e+00  +4.81848e-01
+1.26500e+03  +8.66964e-01  +1.49625e-02  +4.67319e+00  +4.69319e-01
+1.27500e+03  +8.69113e-01  +1.75011e-02  +4.63684e+00  +4.61853e-01
+1.28500e+03  +8.59879e-01  +1.84129e-02  +4.54135e+00  +4.53681e-01
+1.29500e+03  +8.29267e-01  +1.72798e-02  +4.33624e+00  +4.41174e-01
+1.30500e+03  +8.30093e-01  +1.77497e-02  +4.29815e+00  +4.32093e-01
+1.31500e+03  +8.36365e-01  +1.99758e-02  +4.28897e+00  +4.26401e-01
+1.32500e+03  +8.21112e-01  +2.01061e-02  +4.17085e+00  +4.16778e-01
+1.33500e+03  +8.06713e-01  +1.95479e-02  +4.05946e+00  +4.07115e-01
+1.34500e+03  +7.96254e-01  +1.96945e-02  +3.96998e+00  +4.00197e-01
+1.35500e+03  +8.03253e-01  +2.19584e-02  +3.96859e+00  +3.93706e-01
+1.36500e+03  +7.88398e-01  +2.11173e-02  +3.86041e+00  +3.84185e-01
+1.37500e+03  +7.80354e-01  +2.16969e-02  +3.78739e+00  +3.76767e-01
+1.38500e+03  +7.70673e-01  +2.10356e-02  +3.70797e+00  +3.68125e-01
+1.39500e+03  +7.14134e-01  +1.84420e-02  +3.40656e+00  +3.52798e-01
+1.40500e+03  +7.22930e-01  +2.17937e-02  +3.41946e+00  +3.47399e-01
+1.41500e+03  +7.48479e-01  +2.24452e-02  +3.51088e+00  +3.48412e-01
+1.42500e+03  +7.28492e-01  +2.04937e-02  +3.38914e+00  +3.37765e-01
+1.43500e+03  +7.31914e-01  +2.05830e-02  +3.37754e+00  +3.32215e-01
+1.44200e+03  +7.30934e-01  +2.19025e-02  +3.35414e+00  +3.29152e-01
