### Alberto Saldana-Lopez (Obs. Geneva - UniGE)
# 2021/08/31 11:24:18
#
# --------------------------------------------------------------------------------
#    example - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> example
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> reddy16
# att_igm     --> no
# wave_range  --> [ 925. 1345.]
# z_spec      --> 0.33314
# wave_R      --> 1000.0
# wave_norm   --> [1070. 1110.]
# nsim        --> 10
# 
### outputs ### 
# norm_factor --> 1.2426760411056101e-16
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+9.51228e+02  +1.02482e+00  +1.53163e-01  +1.05344e+00  +1.28024e-02
+9.51650e+02  +9.51388e-01  +1.46884e-01  +1.06210e+00  +1.31500e-02
+9.52072e+02  +8.91506e-01  +1.33310e-01  +1.06807e+00  +1.33976e-02
+9.52493e+02  +8.91760e-01  +1.33310e-01  +1.06771e+00  +1.33888e-02
+9.52915e+02  +1.19192e+00  +1.50110e-01  +1.06803e+00  +1.34711e-02
+9.53337e+02  +1.09142e+00  +1.40196e-01  +1.06863e+00  +1.35746e-02
+9.53758e+02  +1.04448e+00  +1.40046e-01  +1.06613e+00  +1.35069e-02
+9.54180e+02  +9.76343e-01  +1.37700e-01  +1.06375e+00  +1.33779e-02
+9.54602e+02  +1.17671e+00  +1.50272e-01  +1.06176e+00  +1.31615e-02
+9.55023e+02  +9.60167e-01  +1.33545e-01  +1.05879e+00  +1.29002e-02
+9.55445e+02  +9.60595e-01  +1.33611e-01  +1.06501e+00  +1.27349e-02
+9.55866e+02  +1.09426e+00  +1.42027e-01  +1.06815e+00  +1.29079e-02
+9.56288e+02  +1.31149e+00  +1.58777e-01  +1.06504e+00  +1.27684e-02
+9.56710e+02  +1.36251e+00  +1.58870e-01  +1.06297e+00  +1.27948e-02
+9.57131e+02  +1.04540e+00  +1.42169e-01  +1.06098e+00  +1.27466e-02
+9.57553e+02  +9.62667e-01  +1.33906e-01  +1.05247e+00  +1.24807e-02
+9.57975e+02  +8.96193e-01  +1.33952e-01  +1.00257e+00  +1.17300e-02
+9.58396e+02  +7.79564e-01  +1.25658e-01  +8.48903e-01  +1.01117e-02
+9.58818e+02  +7.29578e-01  +1.21638e-01  +7.47995e-01  +9.18262e-03
+9.59240e+02  +9.98239e-01  +1.42612e-01  +9.13948e-01  +1.02339e-02
+9.59661e+02  +9.31741e-01  +1.34296e-01  +1.02908e+00  +1.12737e-02
+9.60083e+02  +1.21796e+00  +1.51221e-01  +1.05389e+00  +1.20167e-02
+9.60504e+02  +1.00035e+00  +1.42903e-01  +1.06563e+00  +1.25850e-02
+9.60926e+02  +1.16939e+00  +1.51529e-01  +1.07002e+00  +1.29378e-02
+9.61348e+02  +1.16111e+00  +1.81146e-01  +1.07045e+00  +1.31133e-02
+9.61769e+02  +1.00065e+00  +1.78224e-01  +1.06982e+00  +1.30416e-02
+9.62191e+02  +9.03191e-01  +1.66571e-01  +1.06987e+00  +1.28540e-02
+9.62613e+02  +1.15945e+00  +1.85923e-01  +1.07063e+00  +1.27813e-02
+9.63034e+02  +1.00352e+00  +1.78710e-01  +1.07047e+00  +1.28509e-02
+9.63456e+02  +1.11467e+00  +1.92741e-01  +1.06541e+00  +1.23233e-02
+9.63878e+02  +9.23159e-01  +1.79149e-01  +1.05705e+00  +1.16406e-02
+9.64299e+02  +1.47512e+00  +2.20650e-01  +1.06112e+00  +1.20068e-02
+9.64721e+02  +9.79325e-01  +1.47898e-01  +1.06798e+00  +1.26834e-02
+9.65142e+02  +1.04556e+00  +1.44329e-01  +1.06915e+00  +1.28423e-02
+9.65564e+02  +1.11486e+00  +1.44512e-01  +1.06750e+00  +1.27612e-02
+9.65986e+02  +1.09906e+00  +1.44656e-01  +1.06429e+00  +1.25855e-02
+9.66407e+02  +7.42721e-01  +1.23599e-01  +1.05819e+00  +1.19736e-02
+9.66829e+02  +1.20409e+00  +1.53588e-01  +1.04815e+00  +1.12034e-02
+9.67251e+02  +1.29119e+00  +1.58010e-01  +1.04133e+00  +1.11670e-02
+9.67672e+02  +9.16852e-01  +1.36737e-01  +1.04651e+00  +1.13948e-02
+9.68094e+02  +1.17492e+00  +1.54124e-01  +1.04872e+00  +1.14818e-02
+9.68516e+02  +1.07350e+00  +1.45648e-01  +1.05089e+00  +1.15005e-02
+9.68937e+02  +1.21246e+00  +1.54557e-01  +1.05288e+00  +1.14895e-02
+9.69359e+02  +1.00800e+00  +1.41819e-01  +1.05080e+00  +1.12649e-02
+9.69780e+02  +1.12992e+00  +1.46255e-01  +1.04820e+00  +1.11016e-02
+9.70202e+02  +9.76644e-01  +1.37829e-01  +1.04639e+00  +1.10318e-02
+9.70624e+02  +6.84840e-01  +1.20852e-01  +1.04442e+00  +1.09475e-02
+9.71045e+02  +6.18193e-01  +1.12974e-01  +1.04213e+00  +1.06971e-02
+9.71467e+02  +3.27996e-01  +8.89166e-02  +1.00594e+00  +1.02555e-02
+9.71889e+02  +3.93022e-01  +9.53701e-02  +8.59871e-01  +1.17138e-02
+9.72310e+02  +7.40000e-01  +1.21365e-01  +6.76806e-01  +1.47541e-02
+9.72732e+02  +1.19158e+00  +1.56257e-01  +7.37248e-01  +1.32321e-02
+9.73154e+02  +1.81751e+00  +1.77784e-01  +9.29102e-01  +1.09246e-02
+9.73575e+02  +2.79253e+00  +2.20598e-01  +1.00918e+00  +1.12733e-02
+9.73997e+02  +4.01253e+00  +2.64736e-01  +1.02249e+00  +1.19168e-02
+9.74418e+02  +4.69494e+00  +2.86598e-01  +1.02586e+00  +1.22386e-02
+9.74840e+02  +5.50107e+00  +3.10522e-01  +1.02652e+00  +1.22844e-02
+9.75262e+02  +6.15216e+00  +3.28667e-01  +1.02812e+00  +1.20966e-02
+9.75683e+02  +7.88768e+00  +3.72708e-01  +1.03059e+00  +1.16881e-02
+9.76105e+02  +7.89529e+00  +3.73064e-01  +1.03275e+00  +1.12924e-02
+9.76527e+02  +8.13098e+00  +3.78832e-01  +1.03390e+00  +1.09413e-02
+9.76948e+02  +9.04458e+00  +4.31698e-01  +1.03649e+00  +1.06486e-02
+9.77370e+02  +9.43082e+00  +4.70249e-01  +1.03623e+00  +1.06027e-02
+9.77792e+02  +8.99798e+00  +4.59483e-01  +1.01785e+00  +1.03982e-02
+9.78213e+02  +8.77440e+00  +4.53930e-01  +9.99011e-01  +1.02811e-02
+9.78635e+02  +8.87762e+00  +4.56861e-01  +1.01810e+00  +1.01643e-02
+9.79056e+02  +7.92912e+00  +4.31827e-01  +1.03340e+00  +1.00460e-02
+9.79478e+02  +7.11926e+00  +4.09263e-01  +1.03521e+00  +1.01387e-02
+9.79900e+02  +6.19093e+00  +3.81719e-01  +1.03932e+00  +1.03375e-02
+9.80321e+02  +5.89726e+00  +3.29044e-01  +1.04238e+00  +1.04951e-02
+9.80743e+02  +5.48019e+00  +3.12243e-01  +1.03532e+00  +1.05880e-02
+9.81165e+02  +4.69138e+00  +2.92774e-01  +1.03018e+00  +1.08478e-02
+9.81586e+02  +3.35214e+00  +2.60106e-01  +1.04248e+00  +1.04135e-02
+9.82008e+02  +2.98492e+00  +2.55318e-01  +1.05061e+00  +1.07267e-02
+9.82430e+02  +2.63913e+00  +2.40153e-01  +1.05095e+00  +1.07542e-02
+9.82851e+02  +2.46697e+00  +2.32277e-01  +1.04297e+00  +1.03633e-02
+9.83273e+02  +1.72659e+00  +2.07753e-01  +1.02324e+00  +1.08956e-02
+9.83694e+02  +1.26909e+00  +1.75027e-01  +1.01346e+00  +1.13363e-02
+9.84116e+02  +1.13895e+00  +1.69791e-01  +1.02449e+00  +1.01921e-02
+9.84538e+02  +1.04932e+00  +1.59960e-01  +1.03465e+00  +1.01511e-02
+9.84959e+02  +1.26812e+00  +1.61240e-01  +1.03278e+00  +1.01426e-02
