### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED (full) - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.MOD, Flux.MODerr, Flux.INT, Flux.INTerr 
# 
# 
# wave(A)     Flux.MOD      Flux.MODerr   Flux.INT      Flux.INTerr 
+3.38000e+02  +1.05502e-02  +4.29252e-03  +1.93888e+00  +7.42861e-01
+3.48000e+02  +1.66305e-02  +7.53665e-03  +2.39884e+00  +1.18185e+00
+3.57000e+02  +1.47276e-02  +5.57339e-03  +1.73569e+00  +6.87199e-01
+3.66000e+02  +2.92070e-02  +9.54851e-03  +2.85093e+00  +8.62432e-01
+3.75000e+02  +1.91543e-02  +7.05828e-03  +1.56786e+00  +2.73666e-01
+3.85000e+02  +4.35276e-02  +1.40909e-02  +2.96881e+00  +1.08766e+00
+3.95000e+02  +4.08647e-02  +1.19569e-02  +2.35188e+00  +7.13335e-01
+4.05000e+02  +5.76306e-02  +1.49221e-02  +2.83095e+00  +7.05564e-01
+4.14000e+02  +7.80353e-02  +1.98534e-02  +3.35374e+00  +8.93706e-01
+4.22000e+02  +7.96775e-02  +2.16619e-02  +3.06062e+00  +9.46805e-01
+4.30000e+02  +8.82482e-02  +2.22165e-02  +3.04707e+00  +8.67844e-01
+4.41000e+02  +8.68519e-02  +2.25415e-02  +2.61225e+00  +7.22076e-01
+4.51000e+02  +1.08159e-01  +3.32234e-02  +2.89230e+00  +1.06531e+00
+4.60000e+02  +1.08298e-01  +3.08932e-02  +2.62069e+00  +8.91745e-01
+4.70000e+02  +1.61757e-01  +3.66874e-02  +3.52438e+00  +9.75144e-01
+4.80000e+02  +1.42409e-01  +3.18873e-02  +2.81024e+00  +7.33732e-01
+4.90000e+02  +1.41626e-01  +4.09277e-02  +2.54505e+00  +9.18569e-01
+5.00000e+02  +2.02695e-01  +4.45131e-02  +3.33376e+00  +9.17072e-01
+5.06000e+02  +2.08552e-01  +4.50937e-02  +3.25993e+00  +8.78376e-01
+5.12000e+02  +2.11999e-01  +4.09633e-02  +3.15447e+00  +7.38844e-01
+5.20000e+02  +2.54260e-01  +5.02409e-02  +3.55115e+00  +8.85413e-01
+5.30000e+02  +2.56979e-01  +5.40543e-02  +3.32793e+00  +8.74978e-01
+5.40000e+02  +2.04605e-01  +5.85883e-02  +2.46606e+00  +8.53494e-01
+5.50000e+02  +2.20989e-01  +5.51404e-02  +2.48762e+00  +7.45285e-01
+5.60000e+02  +3.16644e-01  +5.96412e-02  +3.33983e+00  +8.06577e-01
+5.70000e+02  +3.14982e-01  +5.76337e-02  +3.12247e+00  +7.29772e-01
+5.80000e+02  +3.35434e-01  +6.52195e-02  +3.13412e+00  +8.00625e-01
+5.90000e+02  +3.75152e-01  +6.62211e-02  +3.31260e+00  +7.77556e-01
